Nome,Quantita,Unità di misura
Würstel di pollo e tacchino,0,Unità
Mandarino,0,Unità
Fagiolo azuki già cotto,0,Unità
Acqua (meglio se quella di cottura dei fagioli),0,Cucchiai
Salume a scelta,0,g
Patate medie,0,Unità
Noce moscata grattugiata fresca,0,Unità
Cavolfiore lesso,0,g
acciughe,0,Unità
"Branzino abbattuto, sfilettato, tagliato a fettine",0,Unità
Melagrana,0,Unità
Arancia,0,Unità
Pancarrè a fette rettangolari senza crosta,0,Confezione
Pane integrale a cassetta,0,Fetta
Pane mollica grattugiata di pane raffermo,0,Unità
Pera Williams rosse,0,Unità
Zucchero di canan,0,g
Senape semi,0,Cucchiai
Pepe di Sichuan bacche,0,Cucchiaino
Pomodoro ciliegini,0,Unità
Sale fine,0,Unità
Lenticchie già lessate,0,g
Farina di castagne,0,g
Cacao amaro,0,g
Patata grande,0,Unità
Pancetta a cubetti,0,g
"Seppia piccola, già pulita",0,Unità
Salmone filetto,0,Unità
Zucchina se possibile chiara,0,Unità
Cipolla rossa di Tropea piccola,0,Unità
Pancetta dolce,0,g
Taleggio,0,g
Olio  extravergine di oliva,0,Unità
Patate di medie dimensioni,0,Unità
Calamaro,0,Unità
Olio di semi di Girasole,0,Unità
Funghi Portobello,0,Unità
Pomodoro cuore di bue,0,Unità
Pollo petti,0,g
Uva rossa,0,Grappolo
Speck a bastoncini,0,g
Anice stellato,0,bacca
Pepe di Sichuan,0,Cucchiaino
Burro di arachidi,0,Cucchiaino
Pancetta affumicata,0,g
Olio extravergine d'oliva,0,Cucchiai
Pane a cassetta,0,Unità
Finocchietto fresco,0,Unità
Salame romagnolo fresco,0,Fette
Cicoria già lessata,0,g
Carne macinato misto,0,Unità
Provola secca,0,g
Scamorza a fette,0,Unità
Funghi cardoncelli,0,g
Confettura di frutti di bosco,0,Unità
Brodo,0,Unità
Pistacchio granella,0,Unità
Aglio in polvere,0,Cucchiaino
Carne di manzo per tartare,0,g
Moscardino,0,g
Olio per frittura,0,Unità
Pomodori ciliegino o datterino,0,g
Olive verde denocciolata,0,g
Lievito  della tradizione (miscela di bicarbonato e cremor tartaro),0,g
Panna,0,ml
Sidro,0,ml
Insalata valeriana,0,g
Pesca nettarine,0,Unità
Aceto balsamico tradizionale di Modena,0,Cucchiaio
Patate lessa,0,kg
Biscotti secchi,0,g
Cocco in farina,0,g
Funghi freschi,0,g
Olio di oliva,0,ml
Gamberone code,0,Unità
Ribes,0,g
Insalata,0,Foglia
Pane senza sale,0,Fette
Formaggio di capra,0,g
Würstel piccoli,0,Unità
Semola rimacinata di grano duro,0,g
Formaggio di pecora fresco,0,g
Miele di corbezzolo,0,Unità
Provola affumicata,0,g
acciughe in filetti sottolio,0,Unità
Cappero dissalati,0,Cucchiaino
"Uovo sodo, il tuorlo",0,unità
Yogurt intero,0,Cucchiai
Oliva nera,0,Unità
Limone non trattato,0,Unità
Pomodoro ciliegino o datterino,0,kg
Limoni bio,0,Unità
Zucchero bianco,0,Cucchiai
Yogurt greco bianco,0,g
Dattero,0,Unità
Pane da tramezzino senza crosta,0,g
Prosciutto crudo di Carpegna,0,g
Barbabietola rossa già cotta,0,g
Pomodoro ciliegino,0,Unità
Patate sbucciate,0,g
Prosciutto cotto a fette,0,g
Formaggio Gouda,0,g
Olio di semi per fritture,0,Unità
Peperone friggitelli grandi,0,g
acciughe filetti sottolio,0,Unità
Patate bollite,0,g
Mentuccia fresca,0,Unità
Cipolla bianca piccola,0,Unità
Peperoncino jalapeno,0,Unità
Lime il succo,0,Unità
Pane in cassetta,0,Fette
Lasagna,0,g
Camembert,0,g
Formaggio fresco,0,g
Birra glutenfree,0,Cucchiaino
Cipolle tritata fine,0,Cucchiaino
Cracker senza glutine,0,Unità
Grissino,0,Unità
Pasta sfoglia arrotolata già pronta,0,g
Zuccherini,0,Unità
Crema di nocciole,0,g
Nocciola,0,g
Funghi porcini,0,g
Pane alle noci,0,Unità
Pane integrale,0,Unità
Pera,0,Unità
Uva,0,Unità
Cipolle grande,0,Unità
Fave baccelli e frutti,0,g
